run_id,lib_conc_ng_ul,frag_size_bp,load_conc_pm,cluster_density_k_mm2,din_score,undetermined_pct,kit_age_days,room_temp_c,lib_method,calib_status,operator_exp_years,failure_prob,run_failed
MGI-SYN-0054,3.02,371,1.48,709,7.4,4.16,141,21.7,pcr_based,within_month,3,0.0,0
MGI-SYN-0055,3.73,306,1.06,1162,5.2,0.46,275,21.1,pcr_free,today,8,0.15,0
MGI-SYN-0056,3.55,296,1.27,696,7.4,2.67,7,20.5,amplicon,within_week,8,0.0,0
MGI-SYN-0057,1.46,348,1.41,750,9.6,6.93,54,30.1,pcr_free,overdue,3,0.25,1
MGI-SYN-0058,1.91,444,1.95,887,7.8,5.91,104,24.4,amplicon,within_month,8,0.0,0
MGI-SYN-0059,2.63,393,1.71,634,8.7,23.36,342,18.8,pcr_free,overdue,1,0.58,1
MGI-SYN-0060,3.62,320,1.68,779,6.6,1.63,338,29.9,pcr_free,today,8,0.25,0
MGI-SYN-0061,1.75,412,1.94,907,8.3,3.45,61,20.8,pcr_based,within_week,5,0.0,0
MGI-SYN-0062,2.03,122,1.55,790,7.5,2.0,87,23.0,wes,within_week,1,0.38,1
MGI-SYN-0063,1.28,442,1.76,833,5.3,2.9,258,24.8,amplicon,within_month,5,0.0,0
MGI-SYN-0064,1.22,211,1.56,755,7.6,9.72,178,17.4,wes,within_week,5,0.25,0
MGI-SYN-0065,3.34,321,1.71,577,5.2,5.76,242,19.5,pcr_free,within_week,5,0.0,0
MGI-SYN-0066,4.38,260,1.37,908,5.9,10.7,203,26.9,wes,within_month,3,0.1,0
MGI-SYN-0067,2.15,246,0.62,1166,7.3,1.14,31,21.3,pcr_free,within_month,3,0.0,0
MGI-SYN-0068,3.68,443,1.55,853,7.5,10.33,289,25.0,pcr_free,within_week,8,0.25,0
MGI-SYN-0069,2.67,313,2.17,891,4.9,0.31,80,20.6,amplicon,within_month,3,0.15,0
MGI-SYN-0070,1.61,378,1.97,975,8.9,10.97,11,21.7,pcr_based,within_month,3,0.1,0
MGI-SYN-0071,2.67,346,1.99,622,8.0,2.0,254,27.4,rna_seq,within_week,5,0.0,0
MGI-SYN-0072,4.8,388,2.09,1156,5.7,1.89,287,23.3,pcr_free,within_week,1,0.23,0
MGI-SYN-0073,2.19,356,1.64,886,4.2,3.59,176,21.0,rna_seq,within_week,5,0.15,0
MGI-SYN-0074,4.87,247,1.68,1144,6.7,14.12,126,19.9,amplicon,within_month,5,0.1,0
MGI-SYN-0075,0.6,430,1.35,718,6.2,0.24,47,20.2,amplicon,within_month,5,0.35,0
MGI-SYN-0076,3.36,310,1.47,1177,7.2,2.17,206,25.7,pcr_free,within_week,3,0.0,0
MGI-SYN-0077,2.32,225,1.85,990,6.3,9.71,107,24.3,pcr_based,within_week,3,0.0,0
MGI-SYN-0078,1.92,316,2.08,950,3.4,2.52,275,18.6,rna_seq,overdue,3,0.45,1
MGI-SYN-0079,2.33,470,1.54,892,6.3,1.11,337,22.3,pcr_based,overdue,8,0.3,1
MGI-SYN-0080,0.82,418,1.42,805,6.4,2.77,123,21.8,amplicon,within_month,2,0.23,0
MGI-SYN-0081,1.99,322,1.6,1066,8.1,2.44,134,22.9,rna_seq,overdue,10,0.15,1
MGI-SYN-0082,2.66,322,1.84,875,5.7,12.35,107,20.2,pcr_based,within_month,5,0.1,0
MGI-SYN-0083,4.66,324,1.02,496,10.0,7.18,305,25.3,amplicon,within_month,8,0.15,0
MGI-SYN-0084,1.72,516,0.68,649,3.6,3.52,329,22.0,amplicon,within_week,3,0.3,0
MGI-SYN-0085,1.49,381,1.38,817,9.4,22.27,50,23.1,pcr_free,within_week,3,0.2,0
MGI-SYN-0086,1.73,384,1.11,906,6.6,3.13,337,19.6,pcr_free,today,10,0.15,0
MGI-SYN-0087,3.52,432,1.4,840,8.5,0.3,95,19.8,pcr_based,within_month,1,0.08,0
MGI-SYN-0088,2.62,369,1.54,1069,7.1,1.52,268,30.0,pcr_based,overdue,2,0.33,1
MGI-SYN-0089,1.71,329,1.42,499,9.1,2.86,23,27.4,amplicon,within_month,3,0.0,0
MGI-SYN-0090,2.88,334,2.18,876,6.3,0.85,54,21.8,pcr_free,within_week,10,0.0,0
MGI-SYN-0091,2.34,344,1.73,523,5.0,14.74,254,26.6,rna_seq,within_week,5,0.1,0
MGI-SYN-0092,3.61,347,1.72,987,9.6,7.28,235,25.6,pcr_free,within_week,5,0.0,0
MGI-SYN-0093,1.57,408,1.85,833,6.8,1.56,59,20.1,amplicon,within_week,5,0.0,0
MGI-SYN-0094,1.89,354,1.14,926,7.4,4.47,164,19.8,amplicon,within_month,3,0.0,0
MGI-SYN-0095,1.83,409,2.02,695,9.2,6.39,259,24.0,pcr_free,overdue,8,0.15,1
MGI-SYN-0096,1.07,344,1.57,1080,5.1,14.17,314,22.8,pcr_free,today,3,0.4,0
MGI-SYN-0097,2.58,356,1.87,1038,8.1,10.67,216,20.8,wes,today,8,0.1,0
MGI-SYN-0098,2.54,190,1.17,955,5.9,3.62,183,24.2,wes,within_month,3,0.15,0
MGI-SYN-0099,2.23,423,0.98,827,6.8,7.45,57,17.7,pcr_based,within_week,3,0.1,0
MGI-SYN-0100,1.98,378,1.93,954,7.1,4.13,145,22.3,pcr_based,overdue,5,0.15,0
MGI-SYN-0101,1.1,430,1.75,723,4.3,4.02,90,18.3,pcr_based,within_week,3,0.3,0
MGI-SYN-0102,1.8,118,1.24,1004,5.6,0.61,311,18.4,pcr_free,within_week,5,0.45,0
MGI-SYN-0103,1.88,517,1.25,1147,9.4,0.67,45,19.9,amplicon,within_week,3,0.0,0
MGI-SYN-0104,1.49,339,2.05,1043,8.6,3.77,257,23.1,wes,today,2,0.08,0
MGI-SYN-0105,2.05,439,1.12,719,6.9,1.57,21,20.0,pcr_based,within_month,3,0.0,0
MGI-SYN-0106,2.72,267,2.26,915,7.4,0.11,21,18.3,rna_seq,within_week,5,0.0,0
MGI-SYN-0107,5.71,399,1.24,617,6.5,6.42,52,23.4,pcr_free,within_week,2,0.08,0
MGI-SYN-0108,2.43,266,1.86,953,9.4,0.17,338,26.5,amplicon,within_month,5,0.15,0
MGI-SYN-0109,2.53,300,1.47,931,6.6,4.52,171,23.9,pcr_based,today,3,0.0,0
MGI-SYN-0110,2.14,503,1.84,513,7.4,3.87,67,27.4,pcr_based,today,3,0.0,0
MGI-SYN-0111,0.85,335,1.38,641,9.1,17.34,113,26.2,pcr_based,within_month,3,0.25,0
MGI-SYN-0112,2.2,367,1.53,799,5.6,3.31,300,20.5,pcr_based,within_month,10,0.15,0
MGI-SYN-0113,2.29,420,1.62,796,9.8,0.33,160,23.9,amplicon,overdue,5,0.15,0
MGI-SYN-0114,7.63,390,1.2,632,4.2,4.01,266,21.7,amplicon,within_week,3,0.15,0
MGI-SYN-0115,2.02,362,1.9,920,9.9,9.2,320,25.2,pcr_based,today,5,0.15,0
MGI-SYN-0116,2.59,379,1.39,895,6.3,28.8,232,21.7,wes,today,8,0.2,0
MGI-SYN-0117,2.19,542,1.51,815,6.6,2.81,325,19.6,pcr_based,within_week,3,0.15,0
MGI-SYN-0118,1.24,345,1.2,714,3.6,1.93,68,26.1,amplicon,within_month,8,0.15,0
MGI-SYN-0119,3.94,366,0.58,1039,6.2,11.86,28,23.0,pcr_free,within_month,2,0.18,0
MGI-SYN-0120,3.24,434,1.52,1148,5.1,1.06,116,20.0,pcr_free,within_month,8,0.0,0
MGI-SYN-0121,3.31,438,2.57,763,5.9,4.78,51,20.5,pcr_based,within_week,5,0.0,0
MGI-SYN-0122,1.41,445,1.91,740,6.8,2.6,181,20.0,amplicon,within_month,2,0.08,0
MGI-SYN-0123,4.49,401,1.59,938,8.7,0.21,260,19.0,amplicon,overdue,3,0.15,0
MGI-SYN-0124,1.1,259,1.49,786,7.4,2.13,79,20.6,pcr_based,within_week,10,0.15,0
MGI-SYN-0125,2.98,481,1.61,825,7.6,1.54,273,23.1,pcr_free,within_month,8,0.15,1
MGI-SYN-0126,6.65,258,1.82,983,5.0,5.79,108,22.2,pcr_based,overdue,5,0.15,0
MGI-SYN-0127,1.36,374,1.13,506,5.4,14.86,74,20.7,amplicon,within_month,2,0.18,0
MGI-SYN-0128,1.68,290,2.05,1087,10.0,1.56,175,26.5,amplicon,within_month,3,0.0,0
MGI-SYN-0129,2.34,345,1.89,863,5.7,8.34,184,16.0,pcr_free,within_week,3,0.1,0
MGI-SYN-0130,1.73,376,1.89,776,10.0,0.28,23,22.9,pcr_free,within_week,1,0.08,1
MGI-SYN-0131,1.02,376,1.78,834,6.6,3.86,274,21.6,wes,today,5,0.3,0
MGI-SYN-0132,2.3,384,1.61,843,7.0,0.37,129,19.1,pcr_free,within_month,8,0.0,0
MGI-SYN-0133,1.31,479,1.87,538,8.9,13.59,291,23.1,pcr_free,today,5,0.25,0
MGI-SYN-0134,2.82,386,1.84,1119,9.3,7.27,320,21.3,pcr_free,within_month,2,0.23,0
MGI-SYN-0135,1.41,330,1.46,857,6.8,5.36,186,25.7,pcr_based,within_month,5,0.0,0
MGI-SYN-0136,4.83,427,1.37,930,6.3,8.68,59,24.6,pcr_based,within_month,10,0.0,0
MGI-SYN-0137,1.5,445,1.64,1021,6.9,5.21,1,27.7,amplicon,today,5,0.0,0
MGI-SYN-0138,1.89,252,2.22,666,7.6,17.36,131,20.6,pcr_based,today,5,0.1,0
MGI-SYN-0139,3.34,398,1.1,935,8.6,6.26,67,26.2,amplicon,within_month,10,0.0,0
MGI-SYN-0140,1.2,406,1.01,802,7.0,12.93,293,18.5,pcr_free,within_month,8,0.25,1
MGI-SYN-0141,2.49,326,1.67,1002,8.1,3.64,285,21.7,wes,within_month,2,0.23,0
MGI-SYN-0142,4.28,460,1.62,467,9.9,0.62,89,20.6,amplicon,within_week,3,0.0,0
MGI-SYN-0143,1.0,338,1.67,832,7.7,3.76,100,23.8,amplicon,within_month,10,0.15,0
MGI-SYN-0144,2.44,360,1.7,741,7.6,0.68,189,23.7,pcr_free,within_month,3,0.0,0
MGI-SYN-0145,2.53,336,1.51,928,4.3,4.49,346,19.3,pcr_free,within_month,2,0.38,0
MGI-SYN-0146,3.29,351,2.2,935,2.3,3.29,241,24.0,pcr_based,within_month,3,0.3,0
MGI-SYN-0147,1.2,262,0.96,723,7.7,4.87,270,20.9,amplicon,within_month,5,0.0,0
MGI-SYN-0148,1.15,235,1.27,722,6.8,0.1,219,19.5,pcr_free,within_week,10,0.15,0
MGI-SYN-0149,2.89,478,1.56,830,6.1,1.08,176,22.0,rna_seq,today,3,0.0,0
MGI-SYN-0150,2.58,282,0.94,689,7.4,3.38,341,17.6,rna_seq,within_month,5,0.25,0
MGI-SYN-0151,2.52,271,1.53,1002,6.9,15.03,233,24.8,pcr_based,today,8,0.1,0
MGI-SYN-0152,2.65,178,2.26,784,9.0,2.42,151,21.8,rna_seq,within_month,3,0.15,0
MGI-SYN-0153,1.58,299,1.61,327,7.2,2.76,277,21.9,pcr_free,within_month,2,0.43,1
MGI-SYN-0154,2.5,244,1.69,783,5.7,6.27,229,21.7,pcr_free,overdue,10,0.15,0
MGI-SYN-0155,2.58,481,1.1,663,8.8,4.63,171,26.9,pcr_free,within_month,3,0.0,0
MGI-SYN-0156,1.56,431,1.35,556,6.6,1.78,223,26.6,amplicon,today,5,0.0,0
MGI-SYN-0157,5.66,295,1.45,627,7.9,2.65,213,26.1,pcr_free,within_week,5,0.0,0
MGI-SYN-0158,2.82,530,1.47,870,6.1,1.23,282,21.7,rna_seq,within_month,1,0.23,0
MGI-SYN-0159,1.23,429,2.11,1089,5.8,16.91,41,18.7,pcr_free,within_week,10,0.1,0
MGI-SYN-0160,3.09,324,1.82,906,7.2,0.7,122,22.0,pcr_based,within_month,3,0.0,0
MGI-SYN-0161,1.37,150,1.16,741,7.0,2.32,227,22.9,wes,within_month,3,0.15,0
MGI-SYN-0162,3.3,533,1.7,932,7.9,0.13,294,24.4,pcr_free,within_week,2,0.23,0
MGI-SYN-0163,3.97,239,1.8,767,6.5,1.25,88,22.9,pcr_free,within_week,3,0.0,0
MGI-SYN-0164,1.48,218,2.06,725,3.7,7.58,267,18.9,amplicon,within_month,8,0.3,1
MGI-SYN-0165,3.6,432,2.23,642,6.2,1.12,29,20.4,pcr_based,overdue,8,0.15,0
MGI-SYN-0166,2.74,545,1.19,535,8.4,0.42,247,20.1,pcr_free,within_week,10,0.0,0
MGI-SYN-0167,3.36,461,1.28,780,6.5,3.22,316,23.6,pcr_based,overdue,3,0.3,0
MGI-SYN-0168,5.75,395,1.1,878,6.6,0.1,244,23.7,pcr_based,within_month,5,0.0,0
MGI-SYN-0169,1.97,398,1.51,833,8.8,0.44,61,24.1,rna_seq,overdue,5,0.15,0
MGI-SYN-0170,1.53,418,1.79,775,5.7,8.24,147,22.9,wes,today,8,0.0,0
MGI-SYN-0171,1.43,411,1.99,680,4.2,7.38,174,15.8,pcr_based,today,5,0.25,0
MGI-SYN-0172,1.48,372,1.57,959,6.7,12.33,278,16.8,pcr_based,within_month,3,0.35,0
MGI-SYN-0173,2.14,358,1.47,613,6.1,9.64,334,21.6,pcr_based,overdue,3,0.3,0
MGI-SYN-0174,2.64,345,1.66,990,5.3,5.75,142,22.3,rna_seq,within_week,3,0.0,0
MGI-SYN-0175,2.56,290,1.27,670,6.7,0.27,44,25.8,pcr_free,within_month,5,0.0,0
MGI-SYN-0176,3.37,328,2.44,715,7.9,7.64,144,22.2,pcr_based,overdue,10,0.15,0
MGI-SYN-0177,2.24,215,0.96,586,7.0,9.34,353,19.1,amplicon,today,2,0.38,1
MGI-SYN-0178,4.6,342,1.67,760,7.6,8.02,333,24.0,rna_seq,within_month,1,0.23,0
MGI-SYN-0179,1.95,271,2.41,1026,10.0,3.55,55,21.9,pcr_free,overdue,2,0.23,0
MGI-SYN-0180,8.67,262,1.6,943,6.4,1.33,307,20.8,pcr_free,within_week,8,0.15,0
MGI-SYN-0181,3.04,364,1.52,1026,7.5,9.33,358,17.2,pcr_free,within_week,3,0.25,0
MGI-SYN-0182,1.45,461,1.46,944,6.1,6.49,161,22.3,pcr_free,within_month,2,0.08,0
MGI-SYN-0183,1.3,423,1.53,651,5.5,19.75,285,22.7,amplicon,within_week,3,0.25,1
MGI-SYN-0184,2.83,224,2.15,790,5.9,0.85,325,19.0,amplicon,today,5,0.15,0
MGI-SYN-0185,1.99,271,0.72,710,6.1,1.28,198,24.2,amplicon,overdue,5,0.15,0
MGI-SYN-0186,3.18,425,2.21,1090,7.6,1.19,159,24.0,pcr_free,within_month,5,0.0,0
MGI-SYN-0187,2.82,271,1.03,635,10.0,7.86,80,22.1,pcr_free,within_month,3,0.0,0
MGI-SYN-0188,2.15,332,1.49,1011,5.7,1.03,31,22.0,pcr_free,within_month,3,0.0,0
MGI-SYN-0189,1.46,394,1.43,1011,6.3,0.34,112,24.8,pcr_based,today,2,0.08,0
MGI-SYN-0190,1.04,273,1.84,1179,6.9,32.72,46,23.1,wes,within_week,1,0.43,0
MGI-SYN-0191,1.78,358,0.96,776,7.7,0.13,353,19.9,pcr_free,within_week,3,0.15,0
MGI-SYN-0192,3.42,243,1.78,978,7.5,9.02,205,21.4,pcr_free,within_week,3,0.0,0
MGI-SYN-0193,2.48,302,2.41,1261,9.3,2.27,52,23.7,pcr_based,within_month,5,0.0,0
MGI-SYN-0194,1.19,376,1.05,739,2.6,9.21,138,15.9,pcr_based,within_month,1,0.63,1
MGI-SYN-0195,2.43,223,1.68,574,2.7,4.04,74,19.2,pcr_based,within_month,2,0.38,0
MGI-SYN-0196,2.7,385,1.34,512,6.1,11.6,41,24.0,wes,within_week,8,0.1,1
MGI-SYN-0197,1.43,348,1.77,978,9.0,13.03,77,25.6,pcr_free,within_week,5,0.1,0
MGI-SYN-0198,2.4,394,1.61,511,4.2,0.1,187,25.1,amplicon,within_month,5,0.15,0
MGI-SYN-0199,2.29,368,1.34,783,1.6,0.39,52,24.7,pcr_based,within_month,8,0.3,0
MGI-SYN-0200,1.26,459,1.8,929,8.0,1.44,87,22.4,pcr_based,today,3,0.0,0
MGI-SYN-0201,2.66,360,2.32,883,7.4,5.53,109,18.9,rna_seq,within_month,8,0.0,0
MGI-SYN-0202,2.95,316,1.52,927,5.0,10.96,225,21.4,pcr_free,today,5,0.1,0
MGI-SYN-0203,3.82,360,1.89,890,5.2,3.08,248,16.0,amplicon,within_week,2,0.18,0
MGI-SYN-0204,3.77,393,1.08,1080,5.3,4.67,69,25.9,pcr_based,within_month,3,0.0,0
MGI-SYN-0205,1.12,354,1.22,679,7.2,1.04,120,19.5,pcr_based,today,3,0.15,0
MGI-SYN-0206,1.39,353,1.79,728,5.9,8.17,67,20.4,wes,within_month,3,0.0,0
MGI-SYN-0207,2.88,294,2.19,711,7.9,17.11,61,25.2,wes,within_week,3,0.1,0
MGI-SYN-0208,2.88,297,1.74,999,1.9,1.56,327,17.2,wes,today,3,0.55,1
MGI-SYN-0209,2.88,238,1.47,1012,5.5,3.41,191,18.4,amplicon,within_week,2,0.08,0
MGI-SYN-0210,15.28,490,1.6,931,5.0,0.45,189,22.8,pcr_free,overdue,1,0.43,0
MGI-SYN-0211,2.96,250,1.1,1063,6.5,4.1,151,23.6,amplicon,within_month,1,0.08,0
MGI-SYN-0212,3.93,295,1.84,638,6.0,3.49,286,21.8,amplicon,overdue,2,0.38,0
MGI-SYN-0213,3.59,293,1.95,1150,8.4,0.78,96,21.9,pcr_free,within_month,3,0.0,0
MGI-SYN-0214,3.08,422,1.42,1124,3.7,2.92,312,25.8,pcr_based,within_month,5,0.3,1
MGI-SYN-0215,1.9,326,1.41,982,7.1,2.03,309,23.9,wes,within_week,2,0.23,0
MGI-SYN-0216,3.25,450,1.71,1171,8.0,3.69,263,23.5,pcr_based,within_week,8,0.0,0
MGI-SYN-0217,1.51,296,1.43,552,10.0,4.41,97,24.3,pcr_based,within_week,8,0.0,0
MGI-SYN-0218,1.98,372,1.57,756,6.1,0.1,113,21.1,wes,within_week,5,0.0,0
MGI-SYN-0219,1.75,283,2.44,718,7.6,7.16,125,28.5,pcr_free,within_month,5,0.1,0
MGI-SYN-0220,2.32,522,1.5,980,3.8,6.24,132,15.1,pcr_free,within_week,3,0.25,0
MGI-SYN-0221,7.08,255,1.46,661,2.7,2.28,121,26.4,amplicon,within_week,1,0.38,0
MGI-SYN-0222,0.87,375,1.34,986,8.5,0.27,197,24.7,pcr_based,within_week,10,0.15,0
MGI-SYN-0223,3.14,401,1.9,1097,7.0,7.03,294,22.7,amplicon,within_week,2,0.23,0
MGI-SYN-0224,0.99,383,1.53,975,9.1,15.52,122,22.2,pcr_free,within_month,10,0.25,1
MGI-SYN-0225,1.76,335,1.34,901,4.5,1.37,282,21.5,pcr_based,overdue,5,0.45,0
MGI-SYN-0226,3.84,340,2.13,672,7.9,1.95,260,25.3,pcr_free,within_week,3,0.0,0
MGI-SYN-0227,2.3,354,2.17,698,10.0,1.02,39,21.9,rna_seq,within_week,3,0.0,0
MGI-SYN-0228,1.3,338,1.36,1075,7.8,4.3,54,19.8,pcr_based,within_week,5,0.0,0
MGI-SYN-0229,1.56,427,0.85,990,7.5,0.84,161,24.7,pcr_based,overdue,1,0.23,0
MGI-SYN-0230,3.13,527,2.0,843,7.0,2.2,289,26.8,pcr_free,today,3,0.15,0
MGI-SYN-0231,1.54,305,1.33,775,4.2,5.97,200,16.2,pcr_free,within_month,5,0.25,0
MGI-SYN-0232,2.48,240,1.92,485,9.4,4.11,276,29.1,pcr_based,within_month,5,0.25,1
MGI-SYN-0233,2.28,343,0.81,657,5.9,2.44,16,18.9,pcr_free,within_week,2,0.08,0
MGI-SYN-0234,1.61,556,1.96,1194,7.9,2.73,173,19.1,pcr_based,within_week,3,0.0,0
MGI-SYN-0235,6.5,286,1.12,620,4.2,4.13,248,18.3,pcr_based,within_week,8,0.15,0
MGI-SYN-0236,3.06,481,1.89,884,4.9,0.1,218,22.0,wes,overdue,5,0.3,0
MGI-SYN-0237,0.81,484,1.61,1031,9.6,0.41,87,18.2,amplicon,within_month,5,0.15,0
MGI-SYN-0238,2.44,306,1.22,624,6.4,10.65,82,18.5,pcr_based,within_month,10,0.1,0
MGI-SYN-0239,1.6,396,1.44,883,9.6,0.41,62,19.9,pcr_free,within_month,3,0.0,0
MGI-SYN-0240,3.41,480,1.87,1019,6.9,6.13,287,22.4,amplicon,within_month,3,0.15,1
MGI-SYN-0241,1.5,320,1.64,852,3.7,12.63,42,22.7,amplicon,within_month,8,0.25,0
MGI-SYN-0242,2.1,334,1.83,1366,8.6,1.58,12,25.7,pcr_free,today,8,0.0,0
MGI-SYN-0243,2.86,303,2.39,550,5.9,2.31,321,25.7,rna_seq,within_week,3,0.15,0
MGI-SYN-0244,3.43,269,0.97,1041,8.3,4.21,234,25.1,pcr_free,within_week,2,0.08,0
MGI-SYN-0245,1.22,298,2.25,819,7.0,10.67,329,21.2,pcr_free,within_month,5,0.25,0
MGI-SYN-0246,1.88,252,1.64,989,4.2,14.23,131,16.5,pcr_free,today,3,0.35,0
MGI-SYN-0247,1.76,353,1.24,929,7.3,6.73,115,16.4,rna_seq,within_month,10,0.1,0
MGI-SYN-0248,1.61,288,1.07,718,10.0,0.45,218,25.1,pcr_based,within_week,2,0.08,0
MGI-SYN-0249,5.38,369,1.52,891,7.9,5.53,137,24.5,wes,overdue,3,0.15,0
MGI-SYN-0250,2.73,226,1.97,516,6.9,2.64,106,20.1,pcr_free,within_week,1,0.08,0
MGI-SYN-0251,1.18,376,1.55,959,8.9,3.18,179,17.7,pcr_based,within_week,5,0.25,1
MGI-SYN-0252,3.52,417,2.2,904,7.4,0.25,16,18.9,pcr_based,overdue,8,0.15,0
MGI-SYN-0253,6.43,191,1.02,965,7.4,1.06,242,22.5,wes,within_week,5,0.15,0
